box_idx,x1,y1,x2,y2,det_conf,clip_brand,clip_score
0,1119,15,1217,241,0.918,Minute Maid,0.309
1,1016,15,1114,241,0.912,Minute Maid,0.318
2,1325,15,1422,246,0.907,Minute Maid,0.362
3,1220,15,1321,241,0.900,Minute Maid,0.351
4,910,25,1002,243,0.892,Real,0.294
5,345,850,409,1039,0.887,Uncle Chipps,0.284
6,637,26,723,245,0.886,Minute Maid,0.321
7,1004,589,1063,791,0.885,Mirinda,0.349
8,819,25,905,244,0.882,Real,0.295
9,728,25,814,244,0.882,Minute Maid,0.327
10,411,850,481,1040,0.882,Paper Boat,0.312
11,149,858,207,1040,0.881,B Natural,0.342
12,544,25,631,244,0.880,Tropicana,0.320
13,643,842,718,1041,0.880,Gatorade,0.343
14,1065,588,1126,791,0.879,Mirinda,0.382
15,565,842,639,1041,0.879,Gatorade,0.336
16,939,588,1001,791,0.878,Mirinda,0.393
17,275,849,342,1039,0.877,Paper Boat,0.298
18,488,842,561,1040,0.877,Gatorade,0.362
19,745,585,804,790,0.877,7UP,0.346
20,318,595,372,788,0.876,Lipton,0.345
21,1129,588,1188,793,0.876,Mirinda,0.380
22,1084,307,1152,529,0.875,Fanta,0.347
23,375,595,432,789,0.874,Lipton,0.349
24,1155,306,1221,533,0.872,Fanta,0.332
25,808,585,868,790,0.872,7UP,0.351
26,872,586,935,792,0.871,7UP,0.328
27,259,596,314,788,0.871,Lipton,0.355
28,445,33,533,244,0.870,Tropicana,0.278
29,1205,866,1272,1040,0.870,Amul,0.334
30,139,589,196,788,0.870,Nestea,0.378
31,995,857,1058,1040,0.869,Nescafe,0.329
32,1014,306,1081,533,0.868,Fanta,0.341
33,1191,588,1246,789,0.868,Pepsi,0.317
34,272,33,355,234,0.867,Tropicana,0.313
35,209,858,271,1040,0.866,B Natural,0.288
36,1349,865,1421,1040,0.866,Amul,0.316
37,722,842,795,1041,0.866,Gatorade,0.350
38,88,858,145,1039,0.866,Tropicana,0.323
39,1276,865,1345,1040,0.866,Amul,0.337
40,99,31,181,241,0.866,Minute Maid,0.348
41,1062,855,1128,1040,0.865,Nescafe,0.360
42,186,30,268,237,0.865,Real,0.293
43,359,34,442,238,0.865,Real,0.289
44,559,585,620,793,0.864,Mountain Dew,0.340
45,199,590,256,789,0.864,Nestea,0.375
46,1310,588,1368,789,0.863,Pepsi,0.301
47,20,589,77,788,0.863,Nestea,0.367
48,494,585,556,795,0.863,Mountain Dew,0.317
49,1250,588,1306,789,0.862,Pepsi,0.327
50,623,585,682,793,0.862,Mountain Dew,0.310
51,684,585,742,794,0.862,Mountain Dew,0.302
52,1224,309,1288,530,0.862,Limca,0.376
53,1291,308,1356,529,0.859,Limca,0.376
54,23,857,86,1039,0.859,B Natural,0.331
55,1132,855,1199,1040,0.858,Nescafe,0.359
56,81,589,136,788,0.858,Nestea,0.389
57,435,595,491,790,0.856,Lipton,0.324
58,943,307,1011,529,0.854,Fanta,0.358
59,164,304,225,532,0.854,Sprite,0.309
60,97,305,160,531,0.853,Sprite,0.305
61,1371,588,1430,789,0.851,Pepsi,0.330
62,13,29,96,240,0.851,Tropicana,0.315
63,796,305,863,529,0.849,Thums Up,0.358
64,368,300,433,531,0.848,Coca-Cola,0.265
65,1359,308,1426,528,0.848,Limca,0.383
66,297,300,363,531,0.843,Coca-Cola,0.275
67,868,304,938,531,0.839,Thums Up,0.374
68,229,300,293,531,0.837,Coca-Cola,0.265
69,718,305,791,529,0.835,Thums Up,0.375
70,27,304,94,527,0.835,Sprite,0.326
71,438,300,502,530,0.830,Coca-Cola,0.277
72,572,302,636,532,0.826,Diet Coke,0.278
73,506,301,567,526,0.823,Diet Coke,0.274
74,640,303,708,529,0.823,Diet Coke,0.277
75,804,877,866,1040,0.784,Red Bull,0.300
76,870,878,927,1040,0.777,Red Bull,0.295
77,931,878,990,1039,0.605,Red Bull,0.319
78,0,590,14,791,0.505,Other,0.203
79,0,855,15,1044,0.493,Other,0.212
80,0,310,16,526,0.491,Other,0.207
81,931,965,989,1040,0.490,Red Bull,0.347
82,1432,306,1448,523,0.448,Other,0.193
